File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
727939.csv,AD Poynter,1,5,15,14,11,0,0,1,0,26,lbw,0,0,0,0
727939.csv,JF Mooney,1,6,96,34,23,5,1,12,2,77,caught,24,29,0,0
727939.csv,SW Poynter,1,7,7,7,7,0,0,0,0,14,caught,0,0,0,0
727939.csv,AR White,1,8,6,8,6,0,0,0,0,14,lbw,25,21,3,0
727939.csv,MC Sorensen,1,9,10,4,4,1,0,1,0,10,caught and bowled,50,39,2,0
727939.csv,CA Young,1,10,11,4,1,0,0,1,1,7,,58,50,0,1
727939.csv,GJ McCarter,1,11,1,0,1,0,0,0,0,1,,48,38,0,0
727939.csv,MH Cross,2,1,1,5,1,0,0,0,0,6,caught,0,0,0,0
727939.csv,CS MacLeod,2,2,116,80,44,6,0,15,0,145,,25,26,1,0
727939.csv,HJW Gardiner,2,3,89,47,36,2,3,10,0,98,caught,0,0,0,0
727939.csv,PL Mommsen,2,4,31,15,7,3,0,3,1,29,,0,0,0,0
727939.csv,AC Evans,2,,0,0,0,0,0,0,0,0,,60,27,0,1
727939.csv,JH Davey,2,,0,0,0,0,0,0,0,0,,60,41,0,1
727939.csv,MA Leask,2,,0,0,0,0,0,0,0,0,,24,32,0,0
727939.csv,RD Berrington,2,,0,0,0,0,0,0,0,0,,12,13,0,0
727939.csv,RM Haq,2,,0,0,0,0,0,0,0,0,,62,48,7,5
727939.csv,SM Sharif,2,,0,0,0,0,0,0,0,0,,62,42,4,2
743981.csv,JJ Roy,1,1,63,19,13,4,2,9,0,47,caught,0,0,0,0
743981.csv,AD Hales,1,2,9,27,5,0,0,1,0,33,caught,0,0,0,0
743981.csv,JWA Taylor,1,3,101,51,47,11,4,5,0,118,caught,0,0,0,0
743981.csv,EJG Morgan,1,4,62,25,22,3,0,7,1,58,caught,0,0,0,0
743981.csv,BA Stokes,1,5,14,12,6,2,0,1,0,21,caught,13,5,2,0
743981.csv,JM Bairstow,1,6,17,9,7,0,0,1,1,18,run out,0,0,0,0
743981.csv,MM Ali,1,7,1,2,1,0,0,0,0,3,caught,60,32,0,3
743981.csv,LE Plunkett,1,8,1,0,1,0,0,0,0,1,run out,62,58,2,3
743981.csv,CR Woakes,1,9,14,3,6,1,0,0,1,11,,25,21,2,0
743981.csv,AU Rashid,1,10,1,0,1,0,0,0,0,1,,61,38,4,2
743981.csv,ST Finn,1,,0,0,0,0,0,0,0,0,,48,43,0,2
743981.csv,JA Burns,2,1,9,12,4,1,1,0,0,18,caught,0,0,0,0
743981.csv,AJ Finch,2,2,53,39,12,2,0,8,0,62,caught,0,0,0,0
743981.csv,SPD Smith,2,3,25,19,9,2,0,3,0,33,caught,0,0,0,0
743981.csv,GJ Bailey,2,4,25,21,17,4,0,0,0,42,caught,0,0,0,0
743981.csv,GJ Maxwell,2,5,17,6,1,2,0,3,0,12,caught,61,55,1,2
743981.csv,MR Marsh,2,6,13,17,7,1,0,1,0,26,caught,31,27,2,0
743981.csv,MS Wade,2,7,42,18,18,2,0,5,0,43,bowled,0,0,0,0
743981.csv,AC Agar,2,8,5,11,5,0,0,0,0,16,caught,55,44,2,1
743981.csv,MA Starc,2,9,1,3,1,0,0,0,0,4,caught,65,74,7,2
743981.csv,PJ Cummins,2,10,5,2,1,2,0,0,0,5,caught,61,49,3,3
743981.csv,JL Pattinson,2,11,2,6,2,0,0,0,0,8,,38,34,2,0
913657.csv,JJ Roy,1,1,15,13,3,0,0,3,0,19,caught,0,0,0,0
913657.csv,AD Hales,1,2,171,47,42,7,1,22,4,123,lbw,0,0,0,0
913657.csv,JE Root,1,3,85,30,44,3,1,8,0,86,caught,0,0,0,0
913657.csv,JC Buttler,1,4,90,22,12,4,0,7,7,52,,0,0,0,0
913657.csv,EJG Morgan,1,5,57,8,9,3,0,3,5,28,,0,0,0,0
913657.csv,AU Rashid,1,,0,0,0,0,0,0,0,0,,60,73,4,2
913657.csv,BA Stokes,1,,0,0,0,0,0,0,0,0,,25,13,1,1
913657.csv,CR Woakes,1,,0,0,0,0,0,0,0,0,,35,40,1,4
913657.csv,LE Plunkett,1,,0,0,0,0,0,0,0,0,,37,29,2,1
913657.csv,MA Wood,1,,0,0,0,0,0,0,0,0,,62,73,3,1
913657.csv,MM Ali,1,,0,0,0,0,0,0,0,0,,43,35,1,1
913657.csv,Sami Aslam,2,1,8,8,4,0,0,1,0,13,caught,0,0,0,0
913657.csv,Sharjeel Khan,2,2,58,14,4,0,0,12,1,31,caught,0,0,0,0
913657.csv,Azhar Ali,2,3,13,9,1,2,0,2,0,14,caught,6,20,0,0
913657.csv,Babar Azam,2,4,9,11,7,1,0,0,0,19,caught,0,0,0,0
913657.csv,Sarfraz Ahmed,2,5,38,25,10,4,0,5,0,44,caught,0,0,0,0
913657.csv,Shoaib Malik,2,6,1,7,1,0,0,0,0,8,caught,18,44,2,0
913657.csv,Mohammad Nawaz (3),2,7,34,14,14,6,0,2,0,36,caught,60,62,0,1
913657.csv,Hasan Ali,2,8,4,9,4,0,0,0,0,13,bowled,63,71,6,2
913657.csv,Wahab Riaz,2,9,14,12,8,3,0,0,0,23,lbw,64,102,12,0
913657.csv,Yasir Shah,2,10,26,15,14,0,0,3,0,32,,36,48,0,0
913657.csv,Mohammad Amir,2,11,58,9,8,3,0,5,4,29,caught and bowled,61,71,6,0
935813.csv,SW Bates,1,1,66,50,20,5,0,9,0,84,caught,48,47,0,0
935813.csv,RH Priest,1,2,31,39,3,2,0,6,0,50,run out,0,0,0,0
935813.csv,AE Satterthwaite,1,3,47,41,21,3,0,5,0,70,caught,60,24,1,0
935813.csv,KJ Martin,1,4,3,11,1,1,0,0,0,13,lbw,0,0,0,0
935813.csv,KT Perkins,1,5,5,10,3,1,0,0,0,14,bowled,0,0,0,0
935813.csv,SRH Curtis,1,6,19,18,10,1,1,1,0,31,bowled,0,0,0,0
935813.csv,NC Dodd,1,7,21,16,7,3,0,2,0,28,bowled,0,0,0,0
935813.csv,TMM Newton,1,8,3,6,1,1,0,0,0,8,caught,32,29,3,0
935813.csv,LMM Tahuhu,1,9,8,2,4,0,0,1,0,7,,49,33,2,0
935813.csv,HR Huddleston,1,10,2,2,2,0,0,0,0,4,,49,46,2,1
935813.csv,MJG Nielsen,1,,0,0,0,0,0,0,0,0,,61,38,1,5
935813.csv,L Goodall,2,1,13,15,5,0,0,2,0,22,bowled,0,0,0,0
935813.csv,L Lee,2,2,42,29,4,3,0,5,2,43,caught and bowled,0,0,0,0
935813.csv,M du Preez,2,3,80,68,30,5,0,10,0,113,bowled,0,0,0,0
935813.csv,D van Niekerk,2,4,21,29,7,0,2,2,0,40,caught,49,30,2,1
935813.csv,CL Tryon,2,5,4,12,4,0,0,0,0,16,caught,62,39,2,1
935813.csv,M Kapp,2,6,27,15,5,3,0,4,0,27,caught,56,39,7,3
935813.csv,S Luus,2,7,25,22,6,1,3,2,0,34,,43,35,2,1
935813.csv,A Khaka,2,8,5,2,1,0,0,1,0,4,,51,32,4,1
935813.csv,M Daniels,2,,0,0,0,0,0,0,0,0,,12,10,0,0
935813.csv,M Klaas,2,,0,0,0,0,0,0,0,0,,36,20,0,1
1078660.csv,MH Cross,1,1,24,18,8,3,0,1,1,31,bowled,0,0,0,0
1078660.csv,KJ Coetzer,1,2,30,21,10,0,0,5,0,36,caught,0,0,0,0
1078660.csv,CS MacLeod,1,3,8,5,4,0,0,1,0,10,caught,0,0,0,0
1078660.csv,JH Davey,1,4,6,12,2,0,0,1,0,15,lbw,31,16,1,2
1078660.csv,RD Berrington,1,5,50,49,36,1,0,3,0,89,caught,0,0,0,0
1078660.csv,CD Wallace,1,6,9,5,3,0,0,0,1,9,lbw,0,0,0,0
1078660.csv,MA Leask,1,7,11,10,1,1,0,2,0,14,caught and bowled,30,13,0,0
1078660.csv,SM Sharif,1,8,10,21,8,1,0,0,0,30,caught,43,23,1,2
1078660.csv,MRJ Watt,1,9,15,28,7,2,0,1,0,38,bowled,44,34,3,1
1078660.csv,CB Sole,1,10,1,3,1,0,0,0,0,4,bowled,49,33,1,0
1078660.csv,BTJ Wheal,1,11,0,3,0,0,0,0,0,3,,60,49,0,1
1078660.csv,Rohan Mustafa,2,1,10,22,4,1,0,1,0,28,caught,49,37,1,1
1078660.csv,Mohammed Qasim,2,2,6,11,4,1,0,0,0,16,caught,0,0,0,0
1078660.csv,Ghulam Shabber,2,3,14,12,3,2,1,1,0,19,caught,0,0,0,0
1078660.csv,Shaiman Anwar,2,4,4,12,2,1,0,0,0,15,caught,0,0,0,0
1078660.csv,Muhammad Usman,2,5,45,36,13,4,0,6,0,59,caught,0,0,0,0
1078660.csv,Adnan Mufti,2,6,43,40,27,4,0,2,0,73,,0,0,0,0
1078660.csv,Mohammad Naveed,2,7,30,13,4,1,0,3,2,23,stumped,51,27,3,1
1078660.csv,Ahmed Raza,2,8,16,15,6,1,0,2,0,24,,61,18,2,2
1078660.csv,Imran Haider,2,,0,0,0,0,0,0,0,0,,61,35,1,3
1078660.csv,Qadeer Ahmed,2,,0,0,0,0,0,0,0,0,,24,31,0,0
1078660.csv,Zahoor Khan,2,,0,0,0,0,0,0,0,0,,33,16,2,3
416237.csv,V Sehwag,1,1,40,20,7,0,1,6,1,35,caught,0,0,0,0
416237.csv,SR Tendulkar,1,2,4,8,0,0,0,1,0,9,caught,0,0,0,0
416237.csv,G Gambhir,1,3,76,31,38,7,0,6,0,82,run out,0,0,0,0
416237.csv,Yuvraj Singh,1,4,23,15,5,2,0,2,1,25,caught and bowled,48,39,1,0
416237.csv,MS Dhoni,1,5,124,38,51,8,1,9,3,110,caught,0,0,0,0
416237.csv,SK Raina,1,6,62,18,23,3,1,6,1,52,caught,6,3,0,0
416237.csv,Harbhajan Singh,1,7,1,0,1,0,0,0,0,1,,64,58,5,1
416237.csv,P Kumar,1,8,1,0,1,0,0,0,0,1,run out,49,36,1,2
416237.csv,A Nehra,1,,0,0,0,0,0,0,0,0,,44,38,2,1
416237.csv,I Sharma,1,,0,0,0,0,0,0,0,0,,49,33,2,2
416237.csv,RA Jadeja,1,,0,0,0,0,0,0,0,0,,39,35,2,4
416237.csv,SR Watson,2,1,19,17,7,0,0,3,0,27,caught,30,47,1,0
416237.csv,TD Paine,2,2,8,9,4,0,0,1,0,14,bowled,0,0,0,0
416237.csv,RT Ponting,2,3,12,12,2,1,0,2,0,17,lbw,0,0,0,0
416237.csv,CL White,2,4,23,28,11,0,0,3,0,42,caught,0,0,0,0
416237.csv,MEK Hussey,2,5,53,30,23,3,0,6,0,62,bowled,0,0,0,0
416237.csv,AC Voges,2,6,36,18,21,4,1,1,0,45,bowled,31,32,1,0
416237.csv,SE Marsh,2,7,21,9,9,1,0,1,1,21,stumped,0,0,0,0
416237.csv,MG Johnson,2,8,21,10,7,0,0,2,1,20,bowled,66,68,9,4
416237.csv,NM Hauritz,2,9,30,15,14,2,0,3,0,34,,60,54,2,0
416237.csv,PM Siddle,2,10,3,3,1,1,0,0,0,5,caught,63,52,4,2
416237.csv,BW Hilfenhaus,2,11,16,3,6,1,0,2,0,12,run out,65,78,6,1
914233.csv,MJ Guptill,1,1,31,29,9,3,0,4,0,45,caught,0,0,0,0
914233.csv,BB McCullum,1,2,28,5,2,0,0,2,3,12,bowled,0,0,0,0
914233.csv,KS Williamson,1,3,60,39,26,4,0,5,1,75,caught,13,15,2,0
914233.csv,HM Nicholls,1,4,4,2,2,1,0,0,0,5,caught,0,0,0,0
914233.csv,GD Elliott,1,5,32,28,16,1,0,2,1,48,caught,19,19,1,0
914233.csv,CJ Anderson,1,6,16,17,10,0,0,0,1,28,caught,18,17,0,0
914233.csv,L Ronchi,1,7,19,9,5,4,0,0,1,19,caught,0,0,0,0
914233.csv,MJ Santner,1,8,45,15,18,3,1,3,1,41,,60,47,0,3
914233.csv,AF Milne,1,9,36,8,10,6,0,2,1,27,caught,55,57,2,0
914233.csv,MJ Henry,1,10,0,2,0,0,0,0,0,2,bowled,60,57,0,2
914233.csv,TA Boult,1,11,2,0,2,0,0,0,0,2,,60,63,3,1
914233.csv,UT Khawaja,2,1,50,22,22,0,0,7,0,51,caught and bowled,0,0,0,0
914233.csv,DA Warner,2,2,98,30,36,3,0,8,4,81,lbw,0,0,0,0
914233.csv,SPD Smith,2,3,2,10,2,0,0,0,0,12,caught,0,0,0,0
914233.csv,GJ Bailey,2,4,0,1,0,0,0,0,0,1,bowled,0,0,0,0
914233.csv,GJ Maxwell,2,5,6,7,2,0,0,1,0,10,bowled,24,26,0,0
914233.csv,MR Marsh,2,6,69,39,21,3,0,9,1,73,,37,29,2,2
914233.csv,MS Wade,2,7,2,7,2,0,0,0,0,9,caught,0,0,0,0
914233.csv,JW Hastings,2,8,48,23,16,3,0,5,1,48,,61,41,2,0
914233.csv,A Zampa,2,,0,0,0,0,0,0,0,0,,61,56,1,2
914233.csv,JR Hazlewood,2,,0,0,0,0,0,0,0,0,,61,60,3,3
914233.csv,SM Boland,2,,0,0,0,0,0,0,0,0,,60,61,0,2
742623.csv,Mohammad Hafeez,1,1,33,16,1,3,0,5,1,26,caught,0,0,0,0
742623.csv,Ahmed Shehzad,1,2,113,62,41,6,0,12,2,123,caught,18,22,0,1
742623.csv,Younis Khan,1,3,35,25,8,1,1,4,1,40,caught,0,0,0,0
742623.csv,Asad Shafiq,1,4,23,21,17,1,0,1,0,40,bowled,0,0,0,0
742623.csv,Haris Sohail,1,5,39,12,9,2,0,5,1,29,caught,42,45,0,3
742623.csv,Shahid Afridi,1,6,55,8,11,1,0,6,3,29,caught,56,37,1,3
742623.csv,Umar Akmal,1,7,0,1,0,0,0,0,0,1,run out,0,0,0,0
742623.csv,Sarfraz Ahmed,1,8,30,2,8,0,0,4,1,15,,0,0,0,0
742623.csv,Sohail Tanvir,1,9,17,3,5,0,0,0,2,10,,32,18,4,0
742623.csv,Mohammad Irfan,1,,0,0,0,0,0,0,0,0,,38,24,4,2
742623.csv,Wahab Riaz,1,,0,0,0,0,0,0,0,0,,49,61,1,1
742623.csv,MJ Guptill,2,1,12,14,3,1,1,1,0,20,caught,0,0,0,0
742623.csv,AP Devcich,2,2,0,5,0,0,0,0,0,5,caught,6,6,0,0
742623.csv,KS Williamson,2,3,46,28,14,4,0,6,0,52,caught and bowled,0,0,0,0
742623.csv,LRPL Taylor,2,4,31,12,9,0,0,1,3,25,bowled,0,0,0,0
742623.csv,TWM Latham,2,5,34,25,20,1,0,3,0,49,caught,0,0,0,0
742623.csv,CJ Anderson,2,6,19,8,3,2,0,3,0,16,caught,65,91,5,2
742623.csv,L Ronchi,2,7,41,19,17,0,0,6,0,42,bowled,0,0,0,0
742623.csv,JDS Neesham,2,8,2,3,0,1,0,0,0,4,caught,64,66,4,0
742623.csv,NL McCullum,2,9,15,3,4,1,1,0,1,10,caught,61,48,2,1
742623.csv,MJ Henry,2,10,1,2,1,0,0,0,0,3,bowled,56,66,3,3
742623.csv,MJ McClenaghan,2,11,6,6,2,0,0,1,0,9,,61,68,5,1
433590.csv,ES Szwarczynski,1,1,28,46,11,4,1,0,1,63,run out,0,0,0,0
433590.csv,W Barresi,1,2,10,23,4,1,0,1,0,29,lbw,0,0,0,0
433590.csv,Mudassar Bukhari,1,3,6,10,2,0,0,1,0,13,caught,36,14,0,1
433590.csv,TLW Cooper,1,4,29,23,12,3,1,2,0,41,run out,44,33,2,2
433590.csv,RN ten Doeschate,1,5,53,38,22,7,1,2,1,71,,40,26,6,0
433590.csv,AN Kervezee,1,6,18,14,7,0,1,2,0,24,stumped,0,0,0,0
433590.csv,TN de Grooth,1,7,4,12,2,1,0,0,0,15,lbw,0,0,0,0
433590.csv,AF Buurman,1,8,0,2,0,0,0,0,0,2,caught,0,0,0,0
433590.csv,PW Borren,1,9,3,6,3,0,0,0,0,9,run out,30,28,1,1
433590.csv,PM Seelaar,1,10,0,6,0,0,0,0,0,6,lbw,60,25,0,0
433590.csv,Adeel Raja,1,11,0,5,0,0,0,0,0,5,run out,42,31,0,0
433590.csv,Tamim Iqbal,2,1,0,4,0,0,0,0,0,4,bowled,0,0,0,0
433590.csv,Junaid Siddique,2,2,35,32,15,2,0,4,0,53,caught,0,0,0,0
433590.csv,Imrul Kayes,2,3,73,72,29,7,2,6,0,116,,0,0,0,0
433590.csv,Shahriar Nafees,2,4,37,41,9,6,0,4,0,60,bowled,0,0,0,0
433590.csv,Shakib Al Hasan,2,5,1,6,1,0,0,0,0,7,caught,48,38,0,3
433590.csv,Mushfiqur Rahim,2,6,11,9,1,0,0,1,1,12,,0,0,0,0
433590.csv,Abdur Razzak,2,,0,0,0,0,0,0,0,0,,60,29,1,3
433590.csv,Rubel Hossain,2,,0,0,0,0,0,0,0,0,,54,36,1,1
433590.csv,Shafiul Islam,2,,0,0,0,0,0,0,0,0,,56,15,7,1
433590.csv,Suhrawadi Shuvo,2,,0,0,0,0,0,0,0,0,,60,33,0,2
257772.csv,CH Gayle,1,1,7,6,3,0,0,1,0,10,lbw,48,41,0,1
257772.csv,S Chanderpaul,1,2,101,76,48,9,1,8,0,142,caught,0,0,0,0
257772.csv,LMP Simmons,1,3,21,29,3,3,0,3,0,38,bowled,0,0,0,0
257772.csv,MN Samuels,1,4,22,27,8,1,0,3,0,39,stumped,19,16,1,0
257772.csv,BC Lara,1,5,44,23,25,4,1,2,0,55,bowled,0,0,0,0
257772.csv,D Ramdin,1,6,3,3,1,1,0,0,0,5,caught and bowled,0,0,0,0
257772.csv,RS Morton,1,7,14,8,6,1,0,0,1,16,,0,0,0,0
257772.csv,DR Smith,1,8,1,4,1,0,0,0,0,5,lbw,38,30,2,0
257772.csv,D Mohammed,1,9,0,2,0,0,0,0,0,2,,61,51,2,1
257772.csv,CD Collymore,1,,0,0,0,0,0,0,0,0,,60,44,0,1
257772.csv,DBL Powell,1,,0,0,0,0,0,0,0,0,,62,48,4,0
257772.csv,Mohammad Hafeez,2,1,92,53,44,8,0,5,2,112,lbw,24,21,0,0
257772.csv,Kamran Akmal,2,2,56,39,8,3,0,9,1,60,caught,0,0,0,0
257772.csv,Yasir Hameed,2,3,41,40,23,7,0,1,0,71,caught,0,0,0,0
257772.csv,Shoaib Malik,2,4,34,15,16,1,0,4,0,36,,0,0,0,0
257772.csv,Abdul Razzaq,2,5,7,3,5,1,0,0,0,9,,40,32,4,0
257772.csv,Abdur Rehman,2,,0,0,0,0,0,0,0,0,,60,39,2,2
257772.csv,Mohammad Sami,2,,0,0,0,0,0,0,0,0,,62,37,4,1
257772.csv,Naved-ul-Hasan,2,,0,0,0,0,0,0,0,0,,63,39,9,4
257772.csv,Umar Gul,2,,0,0,0,0,0,0,0,0,,63,45,6,0
291364.csv,AC Gilchrist,1,1,118,66,47,7,1,9,3,133,caught,0,0,0,0
291364.csv,ML Hayden,1,2,4,9,0,2,0,0,0,11,caught,0,0,0,0
291364.csv,RT Ponting,1,3,25,17,2,2,1,4,0,26,caught,0,0,0,0
291364.csv,MJ Clarke,1,4,43,42,20,2,1,4,0,69,stumped,0,0,0,0
291364.csv,A Symonds,1,5,4,5,2,1,0,0,0,8,caught,0,0,0,0
291364.csv,MEK Hussey,1,6,25,12,14,1,1,0,1,29,caught,0,0,0,0
291364.csv,JR Hopes,1,7,2,4,2,0,0,0,0,6,caught,54,26,0,1
291364.csv,GB Hogg,1,8,5,6,3,1,0,0,0,10,bowled,61,40,1,2
291364.csv,B Lee,1,9,2,4,2,0,0,0,0,6,bowled,52,48,6,1
291364.csv,MG Johnson,1,10,0,1,0,0,0,0,0,1,run out,61,28,2,3
291364.csv,NW Bracken,1,11,1,3,1,0,0,0,0,4,,49,20,2,3
291364.csv,TM Dilshan,2,1,11,10,1,1,0,2,0,14,bowled,0,0,0,0
291364.csv,ST Jayasuriya,2,2,12,6,1,0,1,2,0,10,caught,0,0,0,0
291364.csv,KC Sangakkara,2,3,80,62,37,8,2,4,0,114,bowled,0,0,0,0
291364.csv,DPMD Jayawardene,2,4,21,17,3,1,0,4,0,25,caught,0,0,0,0
291364.csv,LPC Silva,2,5,0,10,0,0,0,0,0,10,caught,0,0,0,0
291364.csv,CK Kapugedera,2,6,26,42,14,2,0,2,0,60,caught,0,0,0,0
291364.csv,MF Maharoof,2,7,7,13,3,0,0,1,0,17,caught,62,51,3,1
291364.csv,WPUJC Vaas,2,8,0,1,0,0,0,0,0,1,caught,60,35,0,1
291364.csv,KMDN Kulasekara,2,9,0,7,0,0,0,0,0,7,caught,60,52,0,3
291364.csv,SL Malinga,2,10,5,17,1,0,0,1,0,19,bowled,61,44,4,4
291364.csv,M Muralitharan,2,,0,0,0,0,0,0,0,0,,60,47,0,1
690359.csv,Anamul Haque,1,1,2,17,0,1,0,0,0,18,caught,0,0,0,0
690359.csv,Shamsur Rahman,1,2,25,27,15,1,0,2,0,45,caught,0,0,0,0
690359.csv,Mominul Haque,1,3,60,27,23,1,1,8,0,60,run out,0,0,0,0
690359.csv,Mushfiqur Rahim,1,4,30,18,16,1,0,3,0,38,caught,0,0,0,0
690359.csv,Naeem Islam,1,5,32,30,23,1,1,1,0,56,caught,3,7,0,0
690359.csv,Nasir Hossain,1,6,38,19,22,0,0,4,0,45,caught,24,12,1,0
690359.csv,Mahmudullah,1,7,5,7,5,0,0,0,0,12,caught,61,37,1,2
690359.csv,Sohag Gazi,1,8,23,5,5,0,0,0,3,13,bowled,54,47,0,0
690359.csv,Shafiul Islam,1,9,15,10,5,1,0,2,0,18,,25,26,3,0
690359.csv,Arafat Sunny,1,10,1,1,1,0,0,0,0,2,,60,42,0,0
690359.csv,Rubel Hossain,1,,0,0,0,0,0,0,0,0,,61,68,2,2
690359.csv,MDKJ Perera,2,1,106,66,44,4,0,6,5,125,bowled,0,0,0,0
690359.csv,HDRL Thirimanne,2,2,18,22,6,2,0,2,0,32,caught,0,0,0,0
690359.csv,KDK Vithanage,2,3,9,9,5,0,0,1,0,15,bowled,0,0,0,0
690359.csv,LD Chandimal,2,4,64,24,38,5,0,4,0,71,caught,0,0,0,0
690359.csv,AD Mathews,2,5,20,13,10,2,0,0,1,26,,18,21,0,0
690359.csv,SMA Priyanjan,2,6,22,9,6,0,0,4,0,19,,37,41,1,1
690359.csv,AK Perera,2,,0,0,0,0,0,0,0,0,,18,17,0,0
690359.csv,KTGD Prasad,2,,0,0,0,0,0,0,0,0,,62,47,2,3
690359.csv,NLTC Perera,2,,0,0,0,0,0,0,0,0,,56,37,3,1
690359.csv,RAS Lakmal,2,,0,0,0,0,0,0,0,0,,61,23,1,2
690359.csv,SMSM Senanayake,2,,0,0,0,0,0,0,0,0,,55,45,2,1
522246.csv,Tamim Iqbal,1,1,4,14,4,0,0,0,0,18,caught,0,0,0,0
522246.csv,Imrul Kayes,1,2,11,21,7,0,0,1,0,29,lbw,0,0,0,0
522246.csv,Shahriar Nafees,1,3,14,20,6,2,0,1,0,29,bowled,0,0,0,0
522246.csv,Mohammad Ashraful,1,4,2,5,2,0,0,0,0,7,caught,0,0,0,0
522246.csv,Mahmudullah,1,5,5,13,1,0,0,1,0,15,caught,24,19,0,0
522246.csv,Shakib Al Hasan,1,6,53,22,37,4,0,2,0,65,caught,61,44,4,2
522246.csv,Mushfiqur Rahim,1,7,59,49,35,2,0,5,0,91,caught,0,0,0,0
522246.csv,Suhrawadi Shuvo,1,8,20,10,14,1,0,1,0,26,,48,38,0,0
522246.csv,Abdur Razzak,1,9,0,3,0,0,0,0,0,3,caught,46,38,3,0
522246.csv,Shafiul Islam,1,10,8,7,2,1,0,1,0,11,caught,12,13,0,0
522246.csv,Rubel Hossain,1,11,1,1,1,0,0,0,0,2,run out,61,25,2,4
522246.csv,BRM Taylor,2,1,10,13,2,2,0,1,0,18,bowled,0,0,0,0
522246.csv,V Sibanda,2,2,96,55,27,9,1,9,2,103,caught,0,0,0,0
522246.csv,H Masakadza,2,3,41,33,17,4,2,1,1,58,run out,18,9,1,1
522246.csv,T Taibu,2,4,0,2,0,0,0,0,0,2,bowled,0,0,0,0
522246.csv,CR Ervine,2,5,0,1,0,0,0,0,0,1,caught,0,0,0,0
522246.csv,F Mutizwa,2,6,27,36,16,0,1,2,0,55,,0,0,0,0
522246.csv,E Chigumbura,2,7,3,10,1,1,0,0,0,12,caught,44,31,3,1
522246.csv,P Utseya,2,8,0,3,0,0,0,0,0,3,,60,45,0,1
522246.csv,BV Vitori,2,,0,0,0,0,0,0,0,0,,62,28,3,5
522246.csv,CB Mpofu,2,,0,0,0,0,0,0,0,0,,52,20,0,1
522246.csv,RW Price,2,,0,0,0,0,0,0,0,0,,60,44,0,1
597929.csv,WU Tharanga,1,1,11,26,1,1,0,2,0,30,caught,0,0,0,0
597929.csv,DPMD Jayawardene,1,2,22,18,6,1,0,2,1,28,caught,0,0,0,0
597929.csv,KC Sangakkara,1,3,71,60,30,4,1,6,1,102,caught,0,0,0,0
597929.csv,HDRL Thirimanne,1,4,46,40,26,2,0,4,0,72,caught,0,0,0,0
597929.csv,AD Mathews,1,5,10,17,6,2,0,0,0,25,caught,60,38,0,1
597929.csv,MDKJ Perera,1,6,2,3,0,1,0,0,0,4,stumped,0,0,0,0
597929.csv,LD Chandimal,1,7,5,2,5,0,0,0,0,7,caught,0,0,0,0
597929.csv,HMRKB Herath,1,8,5,6,5,0,0,0,0,11,stumped,60,20,0,4
597929.csv,RMS Eranga,1,9,5,8,3,1,0,0,0,12,,59,45,6,2
597929.csv,SL Malinga,1,10,0,2,0,0,0,0,0,2,caught,63,55,4,1
597929.csv,RAS Lakmal,1,11,1,4,1,0,0,0,0,5,stumped,63,30,5,1
597929.csv,RG Sharma,2,1,58,56,28,2,0,5,1,92,bowled,0,0,0,0
597929.csv,S Dhawan,2,2,16,28,6,1,0,2,0,37,caught,0,0,0,0
597929.csv,V Kohli,2,3,2,3,2,0,0,0,0,5,caught,19,12,5,0
597929.csv,KD Karthik,2,4,23,25,7,2,0,3,0,37,caught,0,0,0,0
597929.csv,SK Raina,2,5,32,9,13,3,1,1,1,28,caught,36,25,4,0
597929.csv,MS Dhoni,2,6,45,35,7,3,0,5,2,52,,0,0,0,0
597929.csv,RA Jadeja,2,7,5,10,3,1,0,0,0,14,lbw,48,22,1,4
597929.csv,R Ashwin,2,8,0,1,0,0,0,0,0,1,lbw,61,37,5,2
597929.csv,B Kumar,2,9,0,16,0,0,0,0,0,16,lbw,49,23,6,2
597929.csv,R Vinay Kumar,2,10,5,13,1,2,0,0,0,16,caught,36,15,1,0
597929.csv,I Sharma,2,11,2,6,0,1,0,0,0,7,,49,44,1,2
573025.csv,KOA Powell,1,1,9,23,4,1,1,0,0,29,caught,0,0,0,0
573025.csv,J Charles,1,2,0,4,0,0,0,0,0,4,bowled,0,0,0,0
573025.csv,DM Bravo,1,3,4,16,0,0,0,1,0,17,caught,0,0,0,0
573025.csv,DJ Bravo,1,4,3,6,3,0,0,0,0,9,lbw,25,24,1,0
573025.csv,KA Pollard,1,5,109,80,33,10,0,11,2,136,,32,20,2,0
573025.csv,N Deonarine,1,6,10,10,4,1,0,1,0,16,caught,48,38,0,0
573025.csv,DC Thomas,1,7,7,2,3,0,0,1,0,6,caught,0,0,0,0
573025.csv,DJG Sammy,1,8,25,31,9,2,0,3,0,45,caught,13,15,1,0
573025.csv,AD Russell,1,9,18,8,6,1,0,1,1,17,caught,39,37,5,1
573025.csv,SP Narine,1,10,23,13,7,2,0,3,0,25,caught,60,34,0,2
573025.csv,TL Best,1,11,1,2,1,0,0,0,0,3,run out,62,35,9,2
573025.csv,SR Watson,2,1,76,44,27,5,1,9,0,86,caught,0,0,0,0
573025.csv,AJ Finch,2,2,25,22,5,0,0,5,0,32,lbw,0,0,0,0
