File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
1080631.csv,AR McBrine,2,,0,0,0,0,0,0,0,0,,60,42,0,3
1080631.csv,CA Young,2,,0,0,0,0,0,0,0,0,,61,46,3,3
1080631.csv,GH Dockrell,2,,0,0,0,0,0,0,0,0,,57,34,7,2
1080631.csv,J Mulder,2,,0,0,0,0,0,0,0,0,,62,26,3,2
1080631.csv,KJ O'Brien,2,,0,0,0,0,0,0,0,0,,19,4,1,0
1080631.csv,SR Thompson,2,,0,0,0,0,0,0,0,0,,40,27,9,0
291365.csv,AC Gilchrist,1,1,15,12,1,1,0,3,0,17,bowled,0,0,0,0
291365.csv,ML Hayden,1,2,13,29,5,1,0,0,1,36,caught,0,0,0,0
291365.csv,RT Ponting,1,3,10,8,4,1,0,1,0,14,caught,0,0,0,0
291365.csv,MJ Clarke,1,4,79,58,40,6,1,6,0,111,caught,0,0,0,0
291365.csv,A Symonds,1,5,3,9,3,0,0,0,0,12,caught,12,9,0,0
291365.csv,MEK Hussey,1,6,5,18,2,0,1,0,0,21,caught,0,0,0,0
291365.csv,JR Hopes,1,7,19,8,8,0,1,2,0,19,stumped,36,16,0,3
291365.csv,GB Hogg,1,8,32,27,22,1,0,2,0,52,run out,48,30,1,2
291365.csv,MG Johnson,1,9,9,5,7,1,0,0,0,13,,63,39,4,3
291365.csv,NW Bracken,1,10,0,4,0,0,0,0,0,4,caught,44,21,0,2
291365.csv,SR Clark,1,11,8,2,6,1,0,0,0,9,,52,27,6,0
291365.csv,G Gambhir,2,1,34,26,9,5,1,3,0,44,caught,0,0,0,0
291365.csv,SR Tendulkar,2,2,5,13,1,0,0,1,0,15,lbw,0,0,0,0
291365.csv,IK Pathan,2,3,14,23,6,0,0,2,0,31,caught,62,39,3,4
291365.csv,RG Sharma,2,4,1,2,1,0,0,0,0,3,caught,0,0,0,0
291365.csv,Yuvraj Singh,2,5,26,32,8,0,0,3,1,44,caught,24,22,0,0
291365.csv,MS Dhoni,2,6,37,27,14,5,3,1,0,50,run out,0,0,0,0
291365.csv,RV Uthappa,2,7,18,27,7,2,1,1,0,38,caught,0,0,0,0
291365.csv,Harbhajan Singh,2,8,4,5,1,0,1,0,0,7,caught,61,39,1,2
291365.csv,S Sreesanth,2,9,1,3,1,0,0,0,0,4,stumped,48,35,0,0
291365.csv,I Sharma,2,10,2,8,2,0,0,0,0,10,,59,27,6,2
291365.csv,MM Patel,2,11,0,9,0,0,0,0,0,9,caught,54,31,0,1
566947.csv,MDKJ Perera,1,1,4,7,0,0,0,1,0,8,caught,0,0,0,0
566947.csv,TM Dilshan,1,2,18,11,6,2,0,2,0,21,,0,0,0,0
566947.csv,KC Sangakkara,1,3,17,35,5,1,2,1,0,44,caught,0,0,0,0
566947.csv,HDRL Thirimanne,1,4,7,28,1,1,0,1,0,31,caught,0,0,0,0
566947.csv,DPMD Jayawardene,1,5,38,37,24,1,0,3,0,65,bowled,0,0,0,0
566947.csv,AD Mathews,1,6,51,60,25,5,2,1,1,94,caught,24,10,1,1
566947.csv,BMAJ Mendis,1,7,25,15,17,2,0,1,0,35,stumped,18,28,0,1
566947.csv,NLTC Perera,1,8,0,4,0,0,0,0,0,4,caught,36,25,2,0
566947.csv,KMDN Kulasekara,1,9,1,2,1,0,0,0,0,3,bowled,63,41,7,0
566947.csv,SL Malinga,1,10,7,0,0,0,1,1,0,2,,49,49,5,0
566947.csv,HMRKB Herath,1,,0,0,0,0,0,0,0,0,,25,13,1,0
566947.csv,RG Sharma,2,1,33,32,13,2,0,4,0,51,bowled,0,0,0,0
566947.csv,S Dhawan,2,2,68,58,24,4,2,6,1,95,stumped,0,0,0,0
566947.csv,V Kohli,2,3,58,33,19,7,1,4,1,65,,0,0,0,0
566947.csv,SK Raina,2,4,7,1,1,1,0,1,0,4,,0,0,0,0
566947.csv,B Kumar,2,,0,0,0,0,0,0,0,0,,54,18,0,1
566947.csv,I Sharma,2,,0,0,0,0,0,0,0,0,,56,31,2,3
566947.csv,MS Dhoni,2,,0,0,0,0,0,0,0,0,,25,16,1,0
566947.csv,R Ashwin,2,,0,0,0,0,0,0,0,0,,64,40,10,3
566947.csv,RA Jadeja,2,,0,0,0,0,0,0,0,0,,60,33,0,1
566947.csv,UT Yadav,2,,0,0,0,0,0,0,0,0,,48,30,0,0
919611.csv,CJ Chibhabha,1,1,48,46,22,3,0,5,0,76,caught and bowled,0,0,0,0
919611.csv,R Mutumbami,1,2,67,50,24,4,1,5,2,86,caught,0,0,0,0
919611.csv,BB Chari,1,3,4,4,4,0,0,0,0,8,lbw,0,0,0,0
919611.csv,SC Williams,1,4,5,4,1,0,0,1,0,6,caught and bowled,61,28,1,1
919611.csv,E Chigumbura,1,5,0,2,0,0,0,0,0,2,bowled,0,0,0,0
919611.csv,Sikandar Raza,1,6,2,4,2,0,0,0,0,6,bowled,6,2,0,0
919611.csv,CT Mutombodzi,1,7,4,5,4,0,0,0,0,9,bowled,18,21,1,0
919611.csv,MN Waller,1,8,8,12,4,0,0,1,0,17,caught,12,11,0,0
919611.csv,LM Jongwe,1,9,16,7,4,4,0,1,0,16,,42,42,0,0
919611.csv,T Panyangara,1,10,0,2,0,0,0,0,0,2,lbw,44,20,3,1
919611.csv,J Nyumbu,1,11,4,4,4,0,0,0,0,8,caught,26,31,2,1
919611.csv,Ahmed Shehzad,2,1,32,41,17,2,1,2,0,63,stumped,0,0,0,0
919611.csv,Bilal Asif,2,2,38,27,4,2,0,6,1,40,caught,60,25,0,5
919611.csv,Mohammad Hafeez,2,3,13,11,2,0,1,2,0,16,caught,0,0,0,0
919611.csv,Asad Shafiq,2,4,38,39,13,7,1,2,0,62,,0,0,0,0
919611.csv,Shoaib Malik,2,5,34,14,8,0,0,5,1,28,,5,4,0,1
919611.csv,Aamer Yamin,2,,0,0,0,0,0,0,0,0,,36,29,0,0
919611.csv,Imad Wasim,2,,0,0,0,0,0,0,0,0,,49,35,1,3
919611.csv,Mohammad Irfan,2,,0,0,0,0,0,0,0,0,,49,42,1,1
919611.csv,Wahab Riaz,2,,0,0,0,0,0,0,0,0,,37,23,1,0
