File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
868731.csv,Pakistan,296,9,Zimbabwe,68,0,male,2015,2015/05/31,Zimbabwe in Pakistan ODI Series,,3,Gaddafi Stadium,Lahore,,Pakistan,bat,,Ahsan Raza,RB Tiffin,Shozab Raza,Ahmed Shahab,Azhar Khan,,no result,,,
247499.csv,Australia,226,10,Sri Lanka,232,3,male,2006/07,2007/04/16,,ICC World Cup,43,"""National Cricket Stadium",Grenada,true,Sri Lanka,bat,NW Bracken,Aleem Dar,BR Doctrove,DJ Harper,MR Benson,MJ Procter,Australia,,,7,
913655.csv,England,251,10,Pakistan,255,6,male,2016,2016/08/27,Pakistan in England ODI Series,,2,Lord's,London,,Pakistan,bat,JE Root,M Erasmus,RT Robinson,RJ Bailey,SD Fry,JJ Crowe,England,,,4,
666041.csv,Australia,266,7,England,240,10,female,2013/14,2014/01/23,Women's Ashes,,2,Melbourne Cricket Ground,,,Australia,bat,NE Bolton,AJ Barrow,GJ Davidson,,,D Cox,Australia,,26,,
1030225.csv,India,260,7,New Zealand,241,10,male,2016/17,2016/10/26,New Zealand in India ODI Series,,4,JSCA International Stadium Complex,Ranchi,,New Zealand,bat,MJ Guptill,AK Chaudhary,BNJ Oxenford,Nitin Menon,CK Nandan,RB Richardson,New Zealand,,19,,
1073429.csv,Ireland,166,10,South Africa,82,1,female,2016/17,2017/02/19,,ICC Women's World Cup Qualifier,29,Colombo Cricket Club Ground,,true,Ireland,bat,,IN Ramage,LS Reifer,K Cross,,,South Africa,,36,,D/L
249754.csv,Pakistan,213,8,South Africa,89,10,male,2006/07,2006/10/27,,ICC Champions Trophy,16,"""Punjab Cricket Association Stadium",Chandigarh,true,South Africa,bat,M Ntini,MR Benson,BF Bowden,RE Koertzen,SA Bucknor,RS Madugalle,South Africa,,124,,
450501.csv,Scotland,120,10,Afghanistan,121,4,male,2010,2010/08/17,Afghanistan in Scotland ODI Series,,2,Cambusdoon New Ground,Ayr,,Afghanistan,bat,,EAR de Silva,IN Ramage,RM Wylie,,BC Broad,Scotland,,,6,
1003273.csv,Scotland,178,6,Afghanistan,132,10,male,2016,2016/07/06,Afghanistan in Scotland ODI Series,,2,"""Grange Cricket Club Ground",Edinburgh,,Afghanistan,bat,,M Hawthorne,IN Ramage,AJT Dowdalls,,DT Jukes,Afghanistan,,78,,D/L
238175.csv,Bangladesh,124,10,Australia,127,1,male,2005/06,2006/04/28,Australia in Bangladesh ODI Series,,3,Narayanganj Osmani Stadium,Fatullah,,Bangladesh,bat,MJ Cosgrove,IL Howell,Nadir Shah,,AFM Akhtaruddin,JJ Crowe,Australia,,,9,
1043955.csv,Australia,278,4,South Africa,119,5,female,2016/17,2016/11/20,South Africa Women in Australia ODI Series,"""ICC Women's Championship",2,Manuka Oval,Canberra,,Australia,bat,MM Lanning,GC Joshua,CA Polosak,GJ Davidson,,SR Bernard,Australia,,66,,D/L
351684.csv,Australia,271,8,South Africa,272,7,male,2008/09,2009/01/16,South Africa in Australia ODI Series,,1,Melbourne Cricket Ground,,,Australia,bat,JA Morkel,IJ Gould,BNJ Oxenford,AP Ward,RJ Tucker,RS Madugalle,South Africa,,,3,
722673.csv,Malaysia,286,7,Guernsey,223,8,male,2013/14,2014/03/10,,ICC World Cricket League Division Five,,Kinrara Academy Oval,Kuala Lumpur,,Malaysia,bat,Ahmed Faiz Mohammad Noor,Iftikhar Ali,VA Kulkarni,L Poobalan,,GF Labrooy,Malaysia,,63,,
730289.csv,West Indies,247,7,Bangladesh,70,10,male,2014,2014/08/22,Bangladesh in West Indies ODI Series,,2,"""National Cricket Stadium",Grenada,,Bangladesh,field,SP Narine,Aleem Dar,GO Brathwaite,JS Wilson,RA Kettleborough,JJ Crowe,West Indies,,177,,
275789.csv,Scotland,203,9,India,212,3,male,2007,2007/08/16,,,,Titwood,Glasgow,,India,field,G Gambhir,IJ Gould,IL Howell,BD Papworth,PK Baldwin,RS Madugalle,India,,,7,D/L
661685.csv,New Zealand,156,10,West Indies,157,8,male,2013/14,2013/12/26,West Indies in New Zealand ODI Series,,1,Eden Park,Auckland,,West Indies,field,DJG Sammy,GAV Baxter,REJ Martinesz,AL Hill,IJ Gould,BC Broad,West Indies,,,2,
